product_id,product_name,quantity,price,unit_cost,reorder_level,category_id,supplier_id,location_id
PRD0144,Bell Pepper,50,450,324,3,CAT011,SUP144,LOC004
PRD0145,Pineapple,55,350,252,91,CAT003,SUP145,LOC005
PRD0146,Cod,31,800,576,87,CAT016,SUP146,LOC001
PRD0147,Green Tea,63,800,576,92,CAT014,SUP147,LOC002
PRD0148,Sardines,73,600,432,31,CAT012,SUP148,LOC003
PRD0149,Sourdough Bread,12,400,288,86,CAT009,SUP149,LOC004
PRD0150,Short Grain Rice,53,300,216,86,CAT001,SUP150,LOC005
PRD0151,Powdered Sugar,68,250,180,7,CAT008,SUP151,LOC001
PRD0152,Swiss Cheese,80,810,583,9,CAT010,SUP152,LOC002
PRD0153,Tuna,92,1800,1296,68,CAT012,SUP153,LOC003
PRD0154,Cucumber,31,180,129,98,CAT011,SUP154,LOC004
PRD0155,Eggplant,31,300,216,44,CAT006,SUP155,LOC005
PRD0156,Garlic,76,700,504,97,CAT015,SUP156,LOC001
PRD0157,Vegetable Oil,57,200,144,99,CAT005,SUP157,LOC002
PRD0158,Whipped Cream,92,400,288,99,CAT007,SUP158,LOC003
PRD0159,Cheddar Cheese,88,900,648,74,CAT010,SUP159,LOC004
PRD0160,Coconut,99,500,360,8,CAT015,SUP160,LOC005
PRD0161,Egg (Turkey),44,250,180,84,CAT006,SUP161,LOC001
PRD0162,Herbal Tea,48,3100,2232,77,CAT014,SUP162,LOC002
PRD0163,Sesame Oil,27,650,468,92,CAT005,SUP163,LOC003
PRD0164,Black Rice,34,615,442,96,CAT001,SUP164,LOC004
PRD0165,Orange,41,300,216,94,CAT003,SUP165,LOC005
PRD0166,Black Tea,56,500,360,12,CAT014,SUP166,LOC001
PRD0167,Asparagus,22,500,360,40,CAT015,SUP167,LOC002
PRD0168,Palm Oil,40,180,129,2,CAT005,SUP168,LOC003
PRD0169,Swiss Cheese,50,800,576,99,CAT010,SUP169,LOC004
PRD0170,Mango,89,480,345,92,CAT003,SUP170,LOC005
PRD0171,Egg (Turkey),76,250,180,54,CAT006,SUP171,LOC001
PRD0172,Whole Wheat Flour,67,275,198,60,CAT004,SUP172,LOC002
PRD0173,Robusta Coffee,62,1000,720,78,CAT002,SUP173,LOC003
PRD0174,Watermelon,75,300,216,10,CAT015,SUP174,LOC004
PRD0175,Green Coffee,75,1250,900,47,CAT002,SUP175,LOC005
PRD0176,Cream,29,250,180,32,CAT007,SUP176,LOC001
PRD0177,Oatmeal Biscuit,34,500,360,55,CAT013,SUP177,LOC002
PRD0178,Green Tea,15,800,576,66,CAT014,SUP178,LOC003
PRD0179,Anchovies,88,1000,720,56,CAT016,SUP179,LOC004
PRD0180,Cheddar Cheese,40,900,648,81,CAT010,SUP180,LOC005
PRD0181,Avocado Oil,10,1000,720,86,CAT005,SUP181,LOC001
PRD0182,Arabica Coffee,21,2100,1512,87,CAT002,SUP182,LOC002
PRD0183,Trout,75,1200,864,25,CAT012,SUP183,LOC003
PRD0184,Cod,56,800,576,50,CAT016,SUP184,LOC004
PRD0185,Rye Bread,69,300,216,65,CAT009,SUP185,LOC005
PRD0186,Basmati Rice,56,450,324,53,CAT001,SUP186,LOC001
PRD0187,White Sugar,24,200,144,69,CAT008,SUP187,LOC002
PRD0188,Sourdough Bread,30,450,324,85,CAT009,SUP188,LOC003
PRD0189,White Tea,36,2500,1800,90,CAT014,SUP189,LOC004
PRD0190,White Bread,93,250,180,76,CAT009,SUP190,LOC005
PRD0191,Mozzarella Cheese,96,700,504,38,CAT010,SUP191,LOC001
PRD0192,Peanut Oil,60,400,288,88,CAT005,SUP192,LOC002
PRD0193,Gouda Cheese,97,700,504,77,CAT010,SUP193,LOC003
PRD0194,Chocolate Biscuit,11,500,360,6,CAT013,SUP194,LOC004
PRD0195,Pomegranate,14,600,432,66,CAT015,SUP195,LOC005
PRD0196,Sunflower Oil,88,250,180,100,CAT005,SUP196,LOC001
PRD0197,Jasmine Rice,24,475,342,15,CAT001,SUP197,LOC002
PRD0198,Haddock,93,900,648,62,CAT012,SUP198,LOC003
PRD0199,Black Rice,68,600,432,68,CAT001,SUP199,LOC004
PRD0200,Rye Bread,28,280,201,94,CAT009,SUP200,LOC005
PRD0201,Lime,21,200,144,30,CAT015,SUP201,LOC001
PRD0202,Pomegranate,92,600,432,96,CAT015,SUP202,LOC002
PRD0203,Robusta Coffee,68,1000,720,12,CAT002,SUP203,LOC003
PRD0204,Multigrain Bread,46,350,252,43,CAT009,SUP204,LOC004
PRD0205,Cucumber,47,175,126,20,CAT011,SUP205,LOC005
PRD0206,Olive Oil,52,600,432,88,CAT005,SUP206,LOC001
PRD0207,Mushrooms,51,600,432,62,CAT011,SUP207,LOC002
PRD0208,Egg (Goose),14,250,180,63,CAT006,SUP208,LOC003
PRD0209,Greek Yogurt,62,5117,3684,44,CAT007,SUP209,LOC004
PRD0210,Peach,40,400,288,53,CAT015,SUP210,LOC005
PRD0211,White Tea,50,2550,1836,100,CAT014,SUP211,LOC001
PRD0212,Sushi Rice,77,425,306,20,CAT001,SUP212,LOC002
PRD0213,Strawberries,31,590,424,89,CAT003,SUP213,LOC003
PRD0214,Mushrooms,35,650,468,19,CAT011,SUP214,LOC004
PRD0215,Broccoli,31,400,288,54,CAT011,SUP215,LOC005
PRD0216,White Bread,56,250,180,62,CAT009,SUP216,LOC001
PRD0217,Greek Yogurt,90,300,216,62,CAT007,SUP217,LOC002
PRD0218,Canola Oil,79,230,165,31,CAT005,SUP218,LOC003
PRD0219,Lime,29,200,144,83,CAT015,SUP219,LOC004
PRD0220,Canola Oil,46,230,165,51,CAT005,SUP220,LOC005
PRD0221,Blueberries,42,1000,720,4,CAT015,SUP221,LOC001
PRD0222,Mozzarella Cheese,16,720,518,56,CAT010,SUP222,LOC002
PRD0223,Tuna,89,1800,1296,95,CAT012,SUP223,LOC003
PRD0224,White Tea,20,2500,1800,43,CAT014,SUP224,LOC004
PRD0225,Black Coffee,37,1500,1080,94,CAT002,SUP225,LOC005
PRD0226,Bread Flour,97,150,108,41,CAT004,SUP226,LOC001
PRD0227,Feta Cheese,98,700,504,77,CAT010,SUP227,LOC002
PRD0228,Kiwi,37,600,432,8,CAT003,SUP228,LOC003
PRD0229,Digestive Biscuit,97,400,288,99,CAT013,SUP229,LOC004
PRD0230,Arabica Coffee,97,2000,1440,77,CAT002,SUP230,LOC005
PRD0231,Lemon,90,250,180,92,CAT003,SUP231,LOC001
PRD0232,Arabica Coffee,46,2000,1440,31,CAT002,SUP232,LOC002
PRD0233,Broccoli,40,400,288,8,CAT011,SUP233,LOC003
PRD0234,Kale,77,400,288,52,CAT015,SUP234,LOC004
PRD0235,Bread Flour,62,150,108,79,CAT004,SUP235,LOC005
PRD0236,Herbal Tea,59,3000,2160,17,CAT014,SUP236,LOC001
PRD0237,Blueberries,23,1000,720,38,CAT015,SUP237,LOC002
PRD0238,Digestive Biscuit,39,400,288,16,CAT013,SUP238,LOC003
PRD0239,Gouda Cheese,68,700,504,29,CAT010,SUP239,LOC004
PRD0240,Almond Flour,75,950,684,46,CAT004,SUP240,LOC005
PRD0241,Chocolate Biscuit,96,500,360,16,CAT013,SUP241,LOC001
PRD0242,Haddock,17,900,648,38,CAT012,SUP242,LOC002
PRD0243,Egg (Duck),23,100,72,38,CAT006,SUP243,LOC003
PRD0244,Peach,15,400,288,27,CAT015,SUP244,LOC004
PRD0245,Mackerel,71,750,540,7,CAT016,SUP245,LOC005
PRD0246,Egg (Goose),97,250,180,26,CAT006,SUP246,LOC001
PRD0247,Zucchini,29,250,180,18,CAT011,SUP247,LOC002
PRD0248,Bell Pepper,46,460,331,64,CAT011,SUP248,LOC003
PRD0249,Cheese,76,950,684,15,CAT010,SUP249,LOC004
PRD0250,Zucchini,59,250,180,91,CAT011,SUP250,LOC005
PRD0251,Orange,92,310,223,54,CAT003,SUP251,LOC001
PRD0252,Kiwi,28,600,432,27,CAT003,SUP252,LOC002
PRD0253,Coconut,19,500,360,47,CAT015,SUP253,LOC003
PRD0254,Butter,85,300,216,28,CAT007,SUP254,LOC004
PRD0255,Bread Flour,57,150,108,63,CAT004,SUP255,LOC005
PRD0256,Broccoli,95,400,288,29,CAT011,SUP256,LOC001
PRD0257,Sushi Rice,84,450,324,69,CAT001,SUP257,LOC002
PRD0258,Rice Flour,31,200,144,32,CAT001,SUP258,LOC003
PRD0259,Pear,41,450,324,52,CAT003,SUP259,LOC004
PRD0260,Feta Cheese,97,700,504,57,CAT010,SUP260,LOC005
PRD0261,Milk,43,100,72,88,CAT018,SUP261,LOC001
PRD0262,Palm Oil,74,180,129,4,CAT005,SUP262,LOC002
PRD0263,Bread Flour,70,150,108,96,CAT004,SUP263,LOC003
PRD0264,Cheese,69,920,662,53,CAT010,SUP264,LOC004
PRD0265,Carrot,67,150,108,68,CAT011,SUP265,LOC005
PRD0266,Short Grain Rice,18,300,216,62,CAT001,SUP266,LOC001
PRD0267,Arabica Coffee,22,2100,1512,89,CAT002,SUP267,LOC002
PRD0268,Grapes,88,550,396,99,CAT015,SUP268,LOC003
PRD0269,Tilapia,78,700,504,75,CAT016,SUP269,LOC004
PRD0270,Olive Oil,83,600,432,52,CAT005,SUP270,LOC005
PRD0271,Robusta Coffee,42,1050,756,88,CAT002,SUP271,LOC001
PRD0272,Peas,49,300,216,46,CAT015,SUP272,LOC002
PRD0273,Brown Rice,17,250,180,88,CAT001,SUP273,LOC003
PRD0274,Buttermilk,52,240,172,64,CAT007,SUP274,LOC004
PRD0275,Mushrooms,79,600,432,45,CAT011,SUP275,LOC005
PRD0276,Palm Oil,35,180,129,41,CAT005,SUP276,LOC001
PRD0277,Cucumber,76,180,129,11,CAT011,SUP277,LOC002
PRD0278,Swiss Cheese,93,800,576,8,CAT010,SUP278,LOC003
PRD0279,Halibut,40,2000,1440,81,CAT016,SUP279,LOC004
PRD0280,Trout,19,1150,828,94,CAT012,SUP280,LOC005
PRD0281,Vegetable Oil,70,200,144,96,CAT005,SUP281,LOC001
PRD0282,Digestive Biscuit,90,400,288,52,CAT013,SUP282,LOC002
PRD0283,Digestive Biscuit,77,400,288,79,CAT013,SUP283,LOC003
PRD0284,Apricot,38,500,360,22,CAT015,SUP284,LOC004
PRD0285,Tilapia,93,700,504,25,CAT016,SUP285,LOC005
PRD0286,Evaporated Milk,23,200,144,100,CAT018,SUP286,LOC001
PRD0287,Green Tea,51,760,547,1,CAT014,SUP287,LOC002
PRD0288,Heavy Cream,57,400,288,62,CAT007,SUP288,LOC003
PRD0289,Papaya,59,450,324,74,CAT015,SUP289,LOC004
PRD0290,Blueberries,89,1000,720,15,CAT015,SUP290,LOC005
PRD0291,Blueberries,53,1000,720,98,CAT015,SUP291,LOC001
PRD0292,Plum,11,390,280,56,CAT003,SUP292,LOC002
PRD0293,Yogurt,59,175,126,27,CAT007,SUP293,LOC003
PRD0294,Onion,34,200,144,29,CAT011,SUP294,LOC004
PRD0295,Tuna,25,1800,1296,75,CAT012,SUP295,LOC005
PRD0296,Anchovies,81,1000,720,22,CAT016,SUP296,LOC001
PRD0297,Apple,81,350,252,74,CAT003,SUP297,LOC002
PRD0298,Watermelon,71,300,216,4,CAT015,SUP298,LOC003
PRD0299,Cauliflower,52,250,180,22,CAT015,SUP299,LOC004
PRD0300,Greek Yogurt,26,300,216,54,CAT007,SUP300,LOC005
PRD0301,Haddock,84,900,648,8,CAT012,SUP301,LOC001
PRD0302,Blueberries,28,1000,720,86,CAT015,SUP302,LOC002
PRD0303,Strawberries,94,600,432,77,CAT003,SUP303,LOC003
PRD0304,Kiwi,47,600,432,75,CAT003,SUP304,LOC004
PRD0305,Coconut Sugar,20,500,360,51,CAT008,SUP305,LOC005
PRD0306,Tomato,84,250,180,20,CAT015,SUP306,LOC001
PRD0307,Cheese,100,900,648,31,CAT010,SUP307,LOC002
PRD0308,Milk,74,100,72,90,CAT018,SUP308,LOC003
PRD0309,Green Coffee,27,1200,864,12,CAT002,SUP309,LOC004
PRD0310,Eggplant,91,300,216,55,CAT006,SUP310,LOC005
PRD0311,Grapes,82,550,396,21,CAT015,SUP311,LOC001
PRD0312,Bread Flour,84,150,108,91,CAT004,SUP312,LOC002
PRD0313,Halibut,18,2000,1440,46,CAT016,SUP313,LOC003
PRD0314,Sourdough Bread,12,450,324,59,CAT009,SUP314,LOC004
PRD0315,Black Rice,85,650,468,4,CAT001,SUP315,LOC005
PRD0316,Butter Biscuit,33,600,432,60,CAT013,SUP316,LOC001
PRD0317,Tilapia,59,700,504,59,CAT016,SUP317,LOC002
PRD0318,Grapes,22,550,396,69,CAT015,SUP318,LOC003
PRD0319,Gouda Cheese,67,700,504,79,CAT010,SUP319,LOC004
PRD0320,Cheese,78,900,648,24,CAT010,SUP320,LOC005
PRD0321,Lemon,72,245,176,32,CAT003,SUP321,LOC001
PRD0322,Heavy Cream,63,400,288,48,CAT007,SUP322,LOC002
PRD0323,White Bread,30,250,180,91,CAT009,SUP323,LOC003
PRD0324,Arabica Coffee,36,2000,1440,64,CAT002,SUP324,LOC004
PRD0325,Grapes,88,550,396,27,CAT015,SUP325,LOC005
PRD0326,Banana,95,5382,3875,25,CAT003,SUP326,LOC001
PRD0327,Broccoli,30,400,288,59,CAT011,SUP327,LOC002
PRD0328,Green Beans,31,200,144,55,CAT011,SUP328,LOC003
PRD0329,Cod,16,800,576,20,CAT016,SUP329,LOC004
PRD0330,White Sugar,14,200,144,16,CAT008,SUP330,LOC005
PRD0331,Tomato,44,250,180,67,CAT015,SUP331,LOC001
PRD0332,Long Grain Rice,69,150,108,82,CAT001,SUP332,LOC002
PRD0333,Long Grain Rice,71,150,108,10,CAT001,SUP333,LOC003
PRD0334,Carrot,92,160,115,39,CAT011,SUP334,LOC004
PRD0335,Peanut Oil,49,400,288,17,CAT005,SUP335,LOC005
PRD0336,Pomegranate,52,600,432,8,CAT015,SUP336,LOC001
PRD0337,Egg (Turkey),56,250,180,97,CAT006,SUP337,LOC002
PRD0338,Strawberries,16,610,439,23,CAT003,SUP338,LOC003
PRD0339,Zucchini,52,250,180,79,CAT011,SUP339,LOC004
PRD0340,Trout,91,1150,828,68,CAT012,SUP340,LOC005
PRD0341,Mango,58,470,338,58,CAT003,SUP341,LOC001
PRD0342,Halibut,47,2000,1440,29,CAT016,SUP342,LOC002
PRD0343,Rye Bread,50,300,216,56,CAT009,SUP343,LOC003
PRD0344,Sour Cream,43,400,288,73,CAT007,SUP344,LOC004
PRD0345,Cheddar Cheese,68,890,640,60,CAT010,SUP345,LOC005
PRD0346,Egg (Turkey),19,250,180,100,CAT006,SUP346,LOC001
PRD0347,Swiss Cheese,70,800,576,84,CAT010,SUP347,LOC002
PRD0348,Eggplant,97,300,216,20,CAT006,SUP348,LOC003
PRD0349,Sunflower Oil,87,250,180,24,CAT005,SUP349,LOC004
PRD0350,White Tea,58,2500,1800,81,CAT014,SUP350,LOC005
PRD0351,Coconut,16,500,360,53,CAT015,SUP351,LOC001
PRD0352,Pineapple,65,350,252,35,CAT003,SUP352,LOC002
PRD0353,Basmati Rice,15,450,324,49,CAT001,SUP353,LOC003
PRD0354,Bell Pepper,75,450,324,85,CAT011,SUP354,LOC004
PRD0355,Vanilla Biscuit,80,550,396,61,CAT013,SUP355,LOC005
PRD0356,Orange,84,285,205,95,CAT003,SUP356,LOC001
PRD0357,Eggplant,17,300,216,3,CAT006,SUP357,LOC002
PRD0358,Evaporated Milk,64,190,136,31,CAT018,SUP358,LOC003
PRD0359,Whipped Cream,76,400,288,81,CAT007,SUP359,LOC004
PRD0360,Sesame Oil,77,650,468,95,CAT005,SUP360,LOC005
PRD0361,Cream,18,250,180,14,CAT007,SUP361,LOC001
PRD0362,Coconut Sugar,51,500,360,55,CAT008,SUP362,LOC002
PRD0363,Asparagus,68,500,360,12,CAT015,SUP363,LOC003
PRD0364,Wild Rice,46,1000,720,6,CAT001,SUP364,LOC004
PRD0365,Long Grain Rice,98,150,108,40,CAT001,SUP365,LOC005
PRD0366,Onion,50,200,144,20,CAT011,SUP366,LOC001
PRD0367,Salmon,88,1500,1080,83,CAT012,SUP367,LOC002
PRD0368,Potato,26,120,86,16,CAT011,SUP368,LOC003
PRD0369,Green Coffee,43,1200,864,38,CAT002,SUP369,LOC004
PRD0370,Powdered Sugar,46,250,180,20,CAT008,SUP370,LOC005
PRD0371,Cauliflower,19,245,176,73,CAT015,SUP371,LOC001
PRD0372,Kale,61,400,288,100,CAT015,SUP372,LOC002
PRD0373,Garlic,43,700,504,40,CAT015,SUP373,LOC003
PRD0374,Green Tea,80,850,612,54,CAT014,SUP374,LOC004
PRD0375,Green Tea,34,800,576,47,CAT014,SUP375,LOC005
PRD0376,Green Tea,88,800,576,50,CAT014,SUP376,LOC001
PRD0377,Cottage Cheese,89,500,360,42,CAT010,SUP377,LOC002
PRD0378,Wild Rice,26,1000,720,21,CAT001,SUP378,LOC003
PRD0379,Pear,26,450,324,95,CAT003,SUP379,LOC004
PRD0380,Peach,37,400,288,38,CAT015,SUP380,LOC005
PRD0381,Yogurt,76,175,126,98,CAT007,SUP381,LOC001
PRD0382,Feta Cheese,80,700,504,43,CAT010,SUP382,LOC002
PRD0383,Sweet Potato,100,200,144,3,CAT011,SUP383,LOC003
PRD0384,Butter,21,310,223,87,CAT007,SUP384,LOC004
PRD0385,Coconut Oil,33,500,360,78,CAT005,SUP385,LOC005
PRD0386,Apple,43,350,252,63,CAT003,SUP386,LOC001
PRD0387,Mushrooms,34,620,446,1,CAT011,SUP387,LOC002
